Mnd,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Type,Undertype,Skjebne,Strategi,Antal_dager,Antall_mediesaker,Kort_beskrivelse
5/31/2023,,,,,,,,,,,,,,,,
6/30/2023,,,,,,,,,,,,,,,,
7/31/2023,,,,,,,,,,,,,,,,
8/31/2023,,,,,,,,,,,,,,,,
9/30/2023,,,,,,,,,,,,,,,,
10/31/2023,,,,,,,,,,,,,,,,
11/30/2023,,,,,,,,,,,,,,,,
12/31/2023,,,,,,,,,,,,,,,,
1/31/2024,,,,,,,,,,,,,,,,
2/29/2024,,,,,,,,,,,,,,,,
3/31/2024,,,,,,,,,,,,,,,,
4/30/2024,,,,,,,,,,,,,,,,
5/31/2024,,,,,,,,,,,,,,,,
6/30/2024,,,,,,,,,,,,,,,,
7/31/2024,,,,,,,,,,,,,,,,
8/31/2024,,,,,,,,,,,,,,,,
9/30/2024,,,,,,,,,,,,,,,,
10/31/2024,,,,,,,,,,,,,,,,
11/30/2024,,,,,,,,,,,,,,,,
12/31/2024,,,,,,,,,,,,,,,,
31/01/2025,,,,,,,,,,,,,,,,
28/02/2025,,,,,,,,,,,,,,,,
